,Name,Type,Location,Price,Price Category
1369,King George's Ave RC - Low Impact Aerobics - 11 April 2025,Social & Community Events,King George's Avenue RN,0.0,Free
1370,King George's Ave RC - Low Impact Aerobics - 16 May 2025,Social & Community Events,King George's Avenue RN,0.0,Free
1371,King George's Ave RC - Low Impact Aerobics - 18 April 2025,Social & Community Events,King George's Avenue RN,0.0,Free
1372,King George's Ave RC - Low Impact Aerobics - 2 May 2025,Social & Community Events,King George's Avenue RN,0.0,Free
1373,King George's Ave RC - Low Impact Aerobics - 21 March 2025,Social & Community Events,King George's Avenue RN,0.0,Free
1374,King George's Ave RC - Low Impact Aerobics - 23 May 2025,Social & Community Events,King George's Avenue RN,0.0,Free
1375,King George's Ave RC - Low Impact Aerobics - 25 April 2025,Social & Community Events,King George's Avenue RN,0.0,Free
1376,King George's Ave RC - Low Impact Aerobics - 28 March 2025,Social & Community Events,King George's Avenue RN,0.0,Free
1377,King George's Ave RC - Low Impact Aerobics - 30 May 2025,Social & Community Events,King George's Avenue RN,0.0,Free
1378,King George's Ave RC - Low Impact Aerobics - 4 April 2025,Social & Community Events,King George's Avenue RN,0.0,Free
1379,King George's Ave RC - Low Impact Aerobics - 9 May 2025,Social & Community Events,King George's Avenue RN,0.0,Free
1380,King George's Ave RC - Low Impact Aerobics @ KGA - 14 March 2025,Social & Community Events,King George's Avenue RN,0.0,Free
1381,Union Yoga Ayurveda (Kembangan Branch),Fitness & Wellness,"Kingston Terrace, Postal Code: 418935",~115.0,$$$
1382,(Kolam Ayer C2E) Half-Day CPR & AED Certification Course,Workshops & Classes,Kolam Ayer CC,0.0,Free
1383,(KY WEC) Line Dance Jam - April 2025,Social & Community Events,Kolam Ayer CC,5.0,$
1384,23 March 2025 - Kolam Ayer SG60 Celebration,Social & Community Events,Kolam Ayer CC,0.6,$
1385,Chinese Calligraphy,Workshops & Classes,Kolam Ayer CC,~100.0,$$
1386,Hatha Yoga (Elementary) (HealthierSG),Fitness & Wellness,Kolam Ayer CC,~85.0,$$
1387,Hoop Fitness - Beginners (HealthierSG),Fitness & Wellness,Kolam Ayer CC,~100.0,$$
1388,Hoop Fitness - Intermediate (HealthierSG),Fitness & Wellness,Kolam Ayer CC,~105.0,$$$
1389,Jalan Besar GRC Bowling 4-A Side Mixed Team Competition,Social & Community Events,Kolam Ayer CC,50.0,$
1390,KY CSN - Dragon Boat Orientation Programme,Social & Community Events,Kolam Ayer CC,3.0,$
1391,Super Sunday Deal @ Kolam Ayer [Geylang Bahru],Social & Community Events,Kolam Ayer CC,1.0,$
1392,Super Sunday Deal @ Kolam Ayer [St.George's],Social & Community Events,Kolam Ayer CC,1.0,$
1393,Taijiquan (HealthierSG),Fitness & Wellness,Kolam Ayer CC,~65.0,$$
1394,GBRN Briskwalk at Bidadari Park,Social & Community Events,Kolam Ayer Geylang Bahru RN,2.0,$
1395,KYRN Wellness Day,Social & Community Events,Kolam Ayer RN,0.0,Free
1396,St George's Family Fun Day - Trip to Hay Dairies Goat Farm,Social & Community Events,Kolam Ayer St George's East RN,6.0,$
1397,(WSRN) Block Party,Social & Community Events,Kolam Ayer Whampoa South RN,0.6,$
1398,(WSRN) Brisk Walk Club T-Shirt,Social & Community Events,Kolam Ayer Whampoa South RN,10.0,$
1399,Flower Arrangement 2025.05.03,Social & Community Events,Kreta Ayer CC,15.0,$
1400,KAWEC Mammogram Screening 2025.04.26,Social & Community Events,Kreta Ayer CC,0.0,Free
1401,KpopX® Fitness (HealthierSG),Fitness & Wellness,Kreta Ayer CC,~125.5,$$$
1402,20250329 KARN SG60 Neighbourhood Party,Social & Community Events,Kreta Ayer RN,0.0,Free
1403,Kreta Ayer Stretch Band Exercise 2025.03.16,Social & Community Events,Kreta Ayer RN,0.0,Free
1404,Kreta Ayer Stretch Band Exercise 2025.03.23,Social & Community Events,Kreta Ayer RN,0.0,Free
1405,Kreta Ayer Stretch Band Exercise 2025.03.30,Social & Community Events,Kreta Ayer RN,0.0,Free
1406,2025.04.26 Water Carnival and BBQ Party at One Shenton,Social & Community Events,Kreta Ayer-Kim Seng RN,~10.0,$
1407,La Fiesta RN: Mammobus Screening (March 2025),Social & Community Events,La Fiesta RN,0.0,Free
1408,TJ Calligraphy Workshop,Workshops & Classes,Lakeside Grove NC,5.0,$
1409,Aikido (HealthierSG) (Leng Kee),Fitness & Wellness,Leng Kee CC,~85.0,$$
1410,Ballet (Adult) - Intermediate (HealthierSG) (Leng Kee),Workshops & Classes,Leng Kee CC,~240.0,$$$
1411,Ballroom Modern (Adult) - Intermediate (HealthierSG) (Leng Kee),Workshops & Classes,Leng Kee CC,~125.0,$$$
1412,Chinese Dance (Children),Workshops & Classes,Leng Kee CC,~85.0,$$
1413,Chinese Square Dancing (HealthierSG),Workshops & Classes,Leng Kee CC,~155.0,$$$
1414,Hatha Yoga (Advanced) (HealthierSG),Fitness & Wellness,Leng Kee CC,~95.0,$$
1415,Hatha Yoga (Intermediate) (HealthierSG),Fitness & Wellness,Leng Kee CC,~95.0,$$
1416,Hoop Fitness - Intermediate (HealthierSG),Fitness & Wellness,Leng Kee CC,~105.0,$$$
1417,HOOP FITNESS (HealthierSG),Fitness & Wellness,Leng Kee CC,~100.0,$$
1418,Leng Kee CC IAEC Tamil New Year - 13 April 2025,Social & Community Events,Leng Kee CC,5.0,$
1419,Line Dance (Adult) - Advanced (HealthierSG),Workshops & Classes,Leng Kee CC,~82.5,$$
1420,MARTIAL FIT (KIDS FITNESS),Fitness & Wellness,Leng Kee CC,~151.5,$$$
1421,Tiny Tots Ballet,Workshops & Classes,Leng Kee CC,~112.0,$$$
1422,LTRN Mahjong Session Oct-Dec 25,Social & Community Events,Lengkong Tiga RC,1.0,$
1423,Lentor ACP & LPA Workshop,Workshops & Classes,Lentor RN,0.0,Free
1424,Taichi for Health Programme,Social & Community Events,Lentor RN,0.0,Free
1425,Lim Tai See RN Mandai Boardwalk Trail - 29 March 2025,Social & Community Events,Lim Tai See RN,0.0,Free
1426,[Limbang - CCC] CMWN Rummy O 4 2025,Social & Community Events,Limbang CC,0.0,Free
1427,[Limbang - CSN] Badminton Jan - Mar 2025 (HealthierSG),Social & Community Events,Limbang CC,7.0,$
1428,[Limbang - CSN] Dance-Fit Club (Mar 2025 - Feb 2026) (HealthierSG),Social & Community Events,Limbang CC,24.0,$
1429,[Limbang - CSN] North West FitnessX Club - Limbang CSN (Apr - Jun 2025),Social & Community Events,Limbang CC,30.0,$
1430,[Limbang - CSN] North West FitnessX Club - Limbang CSN (Jan - Mar 2025),Social & Community Events,Limbang CC,30.0,$
1431,[Limbang - CSN] Pickleball Apr - Jun 2025 [MONDAY] (HealthierSG),Social & Community Events,Limbang CC,15.0,$
1432,[Limbang - CSN] Pickleball Apr - Jun 2025 [SATURDAY] (HealthierSG),Social & Community Events,Limbang CC,15.0,$
1433,[Limbang - CSN] Pickleball Apr - Jun 2025 [WEDNESDAY] (HealthierSG),Social & Community Events,Limbang CC,15.0,$
1434,[Limbang - CSN] Table Tennis Apr - Jun 2025 [THURSDAY] (HealthierSG),Social & Community Events,Limbang CC,3.0,$
1435,[Limbang - CSN] Table Tennis Jan - Mar 2025 (HealthierSG),Social & Community Events,Limbang CC,3.0,$
1436,[Limbang - CSN] Walk with us 2025 MARCH,Social & Community Events,Limbang CC,2.0,$
1437,[Limbang - YN & WEC] Limbang Mingle,Social & Community Events,Limbang CC,3.0,$
1438,[Limbang - YN] Limbang Unplugged,Social & Community Events,Limbang CC,1.0,$
1439,[Limbang CC IAEC] Tamil New Year 2025,Social & Community Events,Limbang CC,5.0,$
1440,[Limbang CC WEC] Flea Market 23 March 2025,Social & Community Events,Limbang CC,5.0,$
1441,[Limbang CCC] Mental Wellness - Be A Samaritan Workshop,Workshops & Classes,Limbang CC,0.0,Free
1442,[Limbang CCC] Mental Wellness (Collaboration with FEI YUE) - TRIPLE P Parenting Workshop - Primary Level,Workshops & Classes,Limbang CC,0.0,Free
1443,[Limbang CCC] Mental wellness @NorthWest X Calm Collective - Coping With Change,Social & Community Events,Limbang CC,0.0,Free
1444,[Limbang-C2E] Visit to Woodlands Fire Station and Sembawang Hot Spring - 15 March 2025,Social & Community Events,Limbang CC,0.0,Free
1445,[LIMBANG-CSN] Limbang CSN Bowling Championship 2025,Social & Community Events,Limbang CC,20.0,$
1446,[Limbang-CSN] Marsiling-Yew Tee GRC Community Championship (Badminton),Social & Community Events,Limbang CC,30.0,$
1447,[Limbang-CSN] Marsiling-Yew Tee GRC Community Championship (Table Tennis),Social & Community Events,Limbang CC,30.0,$
1448,[MYT GRC- Limbang & Yew Tee] MY Family Carnival 2025,Social & Community Events,Limbang CC,0.0,Free
1449,3D Clay Painting,Workshops & Classes,Limbang CC,~36.0,$
1450,Creative Finger Puppet Making,Workshops & Classes,Limbang CC,~13.5,$
1451,[Limbang - LBG] Dance Fit Club 2025,Social & Community Events,Limbang Green RN,24.0,$
1452,[Limbang - LBG] Limbang Green Cooking Demo 15 Mar 2025,Social & Community Events,Limbang Green RN,3.0,$
1453,[Limbang - LBP & CSN] Brisk Walk @ Mandai Broadwalk (HeathierSG),Social & Community Events,Limbang Park RN,2.0,$
1454,[Limbang - LBP] Weekly Karaoke Session (15 March 2025),Social & Community Events,Limbang Park RN,3.0,$
1455,[Limbang - LBP] Weekly Karaoke Session (22 March 2025),Social & Community Events,Limbang Park RN,3.0,$
1456,[Limbang - LBP] Weekly Karaoke Session (29 March 2025),Social & Community Events,Limbang Park RN,3.0,$
1457,Vinyasa Yoga (Intermediate) (HealthierSG),Fitness & Wellness,Limbang Park RN,95.0,$$
1458,Limbang [LBV & IAEC] Limbang View Karaoke Session 14 March 2025,Social & Community Events,Limbang View RN,4.0,$
1459,Livia Responder Plus Programme,Social & Community Events,Livia NC,0.0,Free
1460,Livia Water Carnival By The Pool 2025,Social & Community Events,Livia NC,3.0,$
1461,Lucky Marigold Coastal Cleanup Campaign @East Coast Park Area F,Social & Community Events,Lucky Marigold RN,0.0,Free
1462,Aerobics (HealthierSG) (Macpherson),Workshops & Classes,Macpherson CC,~57.5,$$
1463,Ballroom Modern (Adult) - Intermediate (HealthierSG) (Macpherson),Workshops & Classes,Macpherson CC,~85.0,$$
1464,Co-Lab @ MacPherson [Q2 - 1 April to 30 June 2025],Social & Community Events,Macpherson CC,150.0,$$$
1465,Hatha Yoga (Advanced) (HealthierSG),Fitness & Wellness,Macpherson CC,~95.0,$$
1466,KpopX® Fitness (HealthierSG),Fitness & Wellness,Macpherson CC,~105.0,$$$
1467,MacPherson CC WEC Celebrates International Women's Day 2025,Social & Community Events,Macpherson CC,0.0,Free
1468,Tai Hua Factory Tour,Social & Community Events,Macpherson CC,3.0,$
1469,Zumba® Fitness (HealthierSG),Fitness & Wellness,Macpherson CC,~55.0,$$
1470,Fire-Fighting Awareness,Social & Community Events,Macpherson Garden RN,0.0,Free
1471,Potong Pasir Explores! Hay Dairies Goat Farm,Social & Community Events,Macpherson Garden RN,~6.0,$
1472,Children's Art (Macpherson),Workshops & Classes,Macpherson Zone F RN,85.0,$$
1473,Union Yoga Ayurveda (Beauty World Branch),Fitness & Wellness,"Mandarin Park Shop Houses, Postal Code: 599625",~115.0,$$$
1474,Fitness First - Marina Bay Financial Centre,Fitness & Wellness,"Marina Bay Financial Centre, Postal Code: 189203",150.0,$$$
1475,[MCG RN] Outing to Jewel Changi Canopy Park,Social & Community Events,Marine Crescent Gardens RN,10.0,$
1476,Taekwondo (Singapore Taekwondo Federation) (HealthierSG),Fitness & Wellness,Marine Drive Garden RN,~71.5,$$
1477,Children's Art (Marine Drive),Workshops & Classes,Marine Drive View RN,~85.0,$$
1478,Piano Grade 1,Workshops & Classes,Marine Drive View RN,~290.0,$$$
1479,Piano Grade 2,Workshops & Classes,Marine Drive View RN,~335.0,$$$
1480,Recreational Karaoke Folk Singing (Mandarin),Workshops & Classes,Marine Drive View RN,~85.0,$$
1481,Scribble A Scrabble,Social & Community Events,Marine Parade CC,4.0,$
1482,[MTB RN] Introduction to Photography Workshop,Workshops & Classes,Marine Terrace Breeze RN,10.0,$
1483,MTW RN Art & Craft Workshop,Workshops & Classes,Marine Terrace Walk RN,5.0,$
1484,[MYT GRC - Marsiling] MY Family Carnival 2025,Social & Community Events,Marsiling CC,0.0,Free
1485,Competition Registration: Piala Hayunan Irama Kompang PERDANA 2025,Social & Community Events,Marsiling CC,150.0,$$$
1486,Competitive Dance Ensemble,Workshops & Classes,Marsiling CC,~365.0,$$$
1487,CSTD Jazz: Grade 8 (HealthierSG),Workshops & Classes,Marsiling CC,~719.0,$$$
1488,$0.00 Tech Classes 2025,Workshops & Classes,Marsiling CC,0.0,Free
1489,Hatha Yoga (Elementary) (HealthierSG),Fitness & Wellness,Marsiling CC,~67.5,$$
1490,Piano Grade 3,Workshops & Classes,Marsiling CC,~365.0,$$$
1491,Tots Ballet,Workshops & Classes,Marsiling CC,~115.0,$$$
1492,BBQ Pits Booking - Marsiling Zone 2 RN,Social & Community Events,Marsiling Zone 2 RN,11.0,$
1493,Flea Market (15/3/2025) Marsiling Zone 4 RN,Social & Community Events,Marsiling Zone 4 RN,10.0,$
1494,Flea Market (16/3/2025) Marsiling Zone 4 RN,Social & Community Events,Marsiling Zone 4 RN,10.0,$
1495,Flea Market (22/3/2025) Marsiling Zone 4 RN,Social & Community Events,Marsiling Zone 4 RN,10.0,$
1496,Flea Market (23/3/2025) Marsiling Zone 4 RN,Social & Community Events,Marsiling Zone 4 RN,10.0,$
1497,Flea Market (29/3/2025) Marsiling Zone 4 RN,Social & Community Events,Marsiling Zone 4 RN,10.0,$
1498,Flea Market (30/3/2025) Marsiling Zone 4 RN,Social & Community Events,Marsiling Zone 4 RN,10.0,$
1499,Karaoke Session (10/3/2025 to 16/3/2025 2-10pm) Marsiling Zone 4 RN,Social & Community Events,Marsiling Zone 4 RN,50.0,$
1500,Karaoke Session (March 2025) Marsiling Zone 4 RN,Social & Community Events,Marsiling Zone 4 RN,200.0,$$$
1501,Malay Heritage Tour (15/3/2025) Marsiling Zone 4 RN,Social & Community Events,Marsiling Zone 4 RN,2.0,$
1502,BBQ Pits Booking March 2025 - Marsiling Zone 5 RN,Social & Community Events,Marsiling Zone 5 RN,11.0,$
1503,Calm Collective: Facilitator Training Session,Social & Community Events,Marymount CC,0.0,Free
1504,Crochet Art,Workshops & Classes,Marymount CC,~54.0,$$
1505,Hari Raya Celebrations 2025,Social & Community Events,Marymount CC,5.0,$
1506,Hatha Yoga (Elementary) (HealthierSG),Fitness & Wellness,Marymount CC,~110.0,$$$
1507,Marymount CSN Happy Feet Walk at Mandai Boardwalk - 26/04/2025,Social & Community Events,Marymount CC,3.0,$
1508,Marymount WEC Outing to Rainforest Wild Asia,Social & Community Events,Marymount CC,12.0,$
1509,Marymount x Calm Collective - Calm Circles (Theme: Relationship),Social & Community Events,Marymount CC,0.0,Free
1510,Marymount YN Homework Clinic (2 August 2024 - 14 March 2025),Social & Community Events,Marymount CC,0.0,Free
1511,Marymount YN Journaling Workshop,Workshops & Classes,Marymount CC,~8.5,$
1512,MMCC WEC Culinary IG - Pan Fried Carrot Cake,Social & Community Events,Marymount CC,0.0,Free
1513,Piloxing ® (HealthierSG),Fitness & Wellness,Marymount CC,~115.0,$$$
1514,SkillsFuture@PA Floral Hand Bouquet (I),Workshops & Classes,Marymount CC,~175.0,$$$
1515,SkillsFuture@PA Unisex Hair Cutting Course Module 1,Fitness & Wellness,Marymount CC,~225.0,$$$
1516,SkillsFuture@PA Western Flower Arrangement,Workshops & Classes,Marymount CC,~105.0,$$$
1517,Tots Ballet,Workshops & Classes,Marymount CC,~115.0,$$$
1518,Yin Yoga (HealthierSG),Fitness & Wellness,Marymount CC,~95.0,$$
1519,Jadescape Water Carnival,Social & Community Events,Marymount Jadescape RN,6.0,$
1520,Lowrey Piano (Beginner),Workshops & Classes,Matilda RN,275.7,$$$
1521,Lowrey Piano (Grade 1),Workshops & Classes,Matilda RN,387.9,$$$
1522,Lowrey Piano (Grade 2),Workshops & Classes,Matilda RN,419.6,$$$
1523,Mei Ling Zone RN Karaoke Booking - March 2025,Social & Community Events,Mei Ling RN,~66.0,$$
1524,Mei Ling Zone RN Karaoke Booking - March 2025 (Sunday Evening),Social & Community Events,Mei Ling RN,120.0,$$$
1525,MCRC - A walk with Membina Court to Mandai Broadwalk,Social & Community Events,Membina Court RC,4.0,$
1526,Mi Casa Big Sisters' Island Exploration,Social & Community Events,Mi Casa RN,10.0,$
1527,Fitness First - Millenia Walk,Fitness & Wellness,"Millenia Walk, Postal Code: 188091",150.0,$$$
1528,FPRC APR 2025 - KPOP LITE - 7 APR 2025,Social & Community Events,Moulmein Farrer Park RC,0.0,Free
1529,FPRC APR 2025 - ZUMBA GOLD - 2 APR 2025,Social & Community Events,Moulmein Farrer Park RC,0.0,Free
1530,FPRC MAR 2025 - CASH FOR TRASH - 29 MAR 2025,Social & Community Events,Moulmein Farrer Park RC,0.0,Free
1531,FPRC MAR 2025 - KPOP LITE - 17 MAR 2025,Social & Community Events,Moulmein Farrer Park RC,0.0,Free
1532,FPRC MAR 2025 - KPOP LITE - 24 MAR 2025,Social & Community Events,Moulmein Farrer Park RC,0.0,Free
1533,FPRC MAR 2025 - ZUMBA GOLD - 19 MAR 2025,Social & Community Events,Moulmein Farrer Park RC,0.0,Free
1534,FPRC MAR 2025 - ZUMBA GOLD - 26 MAR 2025,Social & Community Events,Moulmein Farrer Park RC,0.0,Free
1535,Community Volunteers Needed - Join Mountbatten Constituency,Social & Community Events,Mountbatten CC,0.0,Free
1536,Mountbatten CC IAEC Spring Fair 2025,Social & Community Events,Mountbatten CC,~110.0,$$$
1537,Wushu (HealthierSG),Fitness & Wellness,Mountbatten CC,45.0,$
1538,CPR AND AED TRAINING - 22 FEB 2024,Social & Community Events,Nanyang CC,0.0,Free
1539,Hand Bouquet,Workshops & Classes,Nanyang CC,~42.0,$
1540,Karate (HealthierSG),Fitness & Wellness,Nanyang CC,~75.0,$$
1541,Lasting Power of Attorney (LPA) - Execution Session,Social & Community Events,Nanyang CC,~10.0,$
1542,Learn more about Lasting Power of Attorney (LPA),Social & Community Events,Nanyang CC,0.0,Free
1543,Nanyang C2E - Fire Extinguisher and CPR & AED Demo Registration,Social & Community Events,Nanyang CC,0.0,Free
1544,Nanyang CSN Walk-A-Jog 2025 (March),Social & Community Events,Nanyang CC,0.0,Free
1545,Nanyang CSN Yoga Get Together 2025 (March),Social & Community Events,Nanyang CC,0.0,Free
1546,Nanyang Health Carnival 2025,Social & Community Events,Nanyang CC,3.0,$
1547,Nanyang WEC Mother's Day Dinner 2025,Social & Community Events,Nanyang CC,~220.0,$$$
1548,SG60 Nanyang Concert,Social & Community Events,Nanyang CC,~6.5,$
1549,SkillsFuture@PA Unisex Hair Cutting Course Module 1,Fitness & Wellness,Nanyang CC,~225.0,$$$
1550,Western Flower Arrangement,Workshops & Classes,Nanyang CC,~42.0,$
1551,Nanyang Zone 1 RN Digital for life : Scam 18 Mar 2025,Social & Community Events,Nanyang Zone 1 RN,0.0,Free
1552,Nanyang Zone 1 RN Wellness Talk 29 Mar 2025,Social & Community Events,Nanyang Zone 1 RN,0.0,Free
1553,Nanyang Zone 2 RN Movie Night 25,Social & Community Events,Nanyang Zone 2 RN,3.0,$
1554,Crochet & Knitting (Stage I),Workshops & Classes,Nanyang Zone 3 RN,140.0,$$$
1555,AAC Digital IG - Explore Information Online 15 Mar 2025 (Nee Soon Cares 2024),Social & Community Events,Nee Soon Central CC,0.0,Free
1556,Children's Art (Nee Soon Central),Workshops & Classes,Nee Soon Central CC,~70.0,$$
1557,Dressmaking (Elementary),Workshops & Classes,Nee Soon Central CC,~76.0,$$
1558,"Faishal Cup Basket Ball Tournament 2025, SG60 - 5x5 Category",Social & Community Events,Nee Soon Central CC,250.0,$$$
1559,"Faishal Cup Basketball Tournament 2025, SG60 - 3x3 Category",Social & Community Events,Nee Soon Central CC,100.0,$$
1560,FIGHT-DO® (HealthierSG),Fitness & Wellness,Nee Soon Central CC,~105.0,$$$
1561,Hand Bouquet Design,Workshops & Classes,Nee Soon Central CC,~145.0,$$$
1562,Nee Soon Central WEC Dance Fit Club 2024 (April 2024 - March 2025),Social & Community Events,Nee Soon Central CC,24.0,$
1563,Nee Soon GRC SG60 Outing to Mandai Bird Paradise & Rainforest Wild Asia [Nee Soon Central CC],Social & Community Events,Nee Soon Central CC,~15.0,$
1564,Piano Grade 1-8 (Multi Fee),Workshops & Classes,Nee Soon Central CC,~230.0,$$$
1565,Piloxing ® (HealthierSG),Fitness & Wellness,Nee Soon Central CC,~104.0,$$$
1566,Recreational Folk Dance (Advanced) (HealthierSG),Workshops & Classes,Nee Soon Central CC,~41.0,$
1567,SCEC DuckTours Outing (Nee Soon Cares 2024),Social & Community Events,Nee Soon Central CC,20.0,$
1568,Taijiquan (HealthierSG),Fitness & Wellness,Nee Soon Central CC,~56.0,$$
1569,Western Flower Arrangement,Workshops & Classes,Nee Soon Central CC,~48.5,$
1570,Zumba® Fitness (HealthierSG),Fitness & Wellness,Nee Soon Central CC,~95.0,$$
1571,Nee Soon Central Zone 2 RN - Briskwalk: Chinese Garden,Social & Community Events,Nee Soon Central Zone 2 RN,3.0,$
1572,Nee Soon Central Zone 2 RN Karaoke Booking March 2025,Social & Community Events,Nee Soon Central Zone 2 RN,~65.0,$$
1573,Recreational Karaoke Pop Singing (Mandarin),Workshops & Classes,Nee Soon Central Zone 2 RN,120.0,$$$
1574,Nee Soon Central Zone 4 RN - Outing to Geylang Serai Ramadan Bazaar (Nee Soon Cares 2024),Social & Community Events,Nee Soon Central Zone 4 RN,3.0,$
1575,Nee Soon Central Zone 4 RN Block Party at Blk 768 Residents' Corner,Social & Community Events,Nee Soon Central Zone 4 RN,0.0,Free
1576,Nee Soon Central Zone 4 RN Karaoke (March 2025),Social & Community Events,Nee Soon Central Zone 4 RN,85.0,$$
1577,Nee Soon Central Zone 5 RN- Hari Raya Shopping Tour (Nee Soon Cares 2024),Social & Community Events,Nee Soon Central Zone 5 RN,5.0,$
1578,Nee Soon Central Zone 6 RN - Dance Fit (January 2025 - January 2026),Social & Community Events,Nee Soon Central Zone 6 RN,24.0,$
1579,Nee Soon Central Zone 6 RN Karaoke Booking for April 2025,Social & Community Events,Nee Soon Central Zone 6 RN,~60.0,$$
1580,Nee Soon Central Zone 6 RN Karaoke Booking for March 2025,Social & Community Events,Nee Soon Central Zone 6 RN,~60.0,$$
1581,Ballroom Latin (Children) - Elementary,Workshops & Classes,Nee Soon Central Zone 8 RN,~80.0,$$
1582,Ballroom Latin (Children) - Intermediate,Workshops & Classes,Nee Soon Central Zone 8 RN,~90.0,$$
1583,Aikido (HealthierSG) (Nee Soon East),Fitness & Wellness,Nee Soon East CC,~105.0,$$$
1584,Children's Art (Nee Soon East),Workshops & Classes,Nee Soon East CC,~88.0,$$
1585,Chinese Calligraphy,Workshops & Classes,Nee Soon East CC,~163.0,$$$
1586,CSN Community Workout @ Nee Soon East - 22 March 2025 (Nee Soon Cares 2024),Social & Community Events,Nee Soon East CC,0.0,Free
1587,Digital Club @Nee Soon East - Topic : Find and Evaluate Online Information - 23 March 2025,Social & Community Events,Nee Soon East CC,0.0,Free
1588,Fun with Art,Workshops & Classes,Nee Soon East CC,~125.0,$$$
1589,Hand Bouquet,Workshops & Classes,Nee Soon East CC,~42.0,$
1590,Hatha Yoga (Elementary) (HealthierSG),Fitness & Wellness,Nee Soon East CC,~70.0,$$
1591,Hatha Yoga (Intermediate) (HealthierSG),Fitness & Wellness,Nee Soon East CC,~80.0,$$
1592,Let's Build A Playground Together - 22 Mar 25 (No registration required),Social & Community Events,Nee Soon East CC,0.0,Free
1593,Let's Kayak and Clean Up Seletar Island Together - 3 May 2025 (Nee Soon Cares 2024),Social & Community Events,Nee Soon East CC,10.0,$
1594,Let's Kayak and Clean Up Seletar Island Together - 5 Apr 2025 (Nee Soon Cares 2024),Social & Community Events,Nee Soon East CC,10.0,$
1595,MEGADANZ® (HealthierSG),Fitness & Wellness,Nee Soon East CC,~105.0,$$$
1596,Nee Soon GRC SG60 Outing to Mandai Bird Paradise & Rainforest Wild Asia [Nee Soon East CC],Social & Community Events,Nee Soon East CC,~15.0,$
1597,NSE YN - Perfume Making Workshop 15 March 2025,Workshops & Classes,Nee Soon East CC,20.0,$
1598,Pilates - Matwork for Beginners (HealthierSG),Fitness & Wellness,Nee Soon East CC,~95.0,$$
1599,Recreational Karaoke Singing and Vocal Training,Workshops & Classes,Nee Soon East CC,~132.5,$$$
1600,SCEC Siew Mai Cooking Demo (Nee Soon Cares 24) - 23 March 2025,Social & Community Events,Nee Soon East CC,2.0,$
1601,SkillsFuture@PA Breadmaking (Elementary),Food & Beverage,Nee Soon East CC,~103.0,$$$
1602,SkillsFuture@PA Pastry Baking,Food & Beverage,Nee Soon East CC,~95.0,$$
1603,SkillsFuture@PA Unisex Hair Cutting Course Module 1,Fitness & Wellness,Nee Soon East CC,~225.0,$$$
1604,SkillsFuture@PA Unisex Hair Cutting Course Module 2,Fitness & Wellness,Nee Soon East CC,~235.0,$$$
1605,Taijiquan (HealthierSG),Fitness & Wellness,Nee Soon East CC,~55.0,$$
1606,WEC - NWCDC Dance-Fit Club (HealthierSG) Apr 24 to Mar 25,Social & Community Events,Nee Soon East CC,~18.0,$
1607,WEC - NWCDC Dance-Fit Club (HealthierSG) Apr 25 to Mar 26,Social & Community Events,Nee Soon East CC,~18.0,$
1608,Zumba® Fitness (HealthierSG),Fitness & Wellness,Nee Soon East CC,~95.0,$$
1609,Bazaar Ramadan @ Singapore EXPO,Social & Community Events,Nee Soon Link CC,3.0,$
1610,Community Learning Journey to Singapore Discovery Centre [Nee Soon Link CC],Social & Community Events,Nee Soon Link CC,5.0,$
1611,Mobile TCM @ NSL - 21 March 2025,Social & Community Events,Nee Soon Link CC,0.0,Free
1612,Nee Soon GRC SG60 Outing to Mandai Bird Paradise & Rainforest Wild Asia [Nee Soon Link CC],Social & Community Events,Nee Soon Link CC,~15.0,$
1613,Nee Soon Link Break of Fast,Social & Community Events,Nee Soon Link CC,3.0,$
1614,Nee Soon Link WEC Mammogram Screening @ 23 March 2025 (Nee Soon Cares 2024),Social & Community Events,Nee Soon Link CC,0.0,Free
1615,Aikido (HealthierSG) (Nee Soon South),Fitness & Wellness,Nee Soon South CC,~105.0,$$$
1616,Children's Art (Nee Soon South),Workshops & Classes,Nee Soon South CC,~85.0,$$
1617,Coffee Appreciation – Fun with Specialty Coffee,Food & Beverage,Nee Soon South CC,~40.0,$
1618,Community Learning Journey to Singapore Discovery Centre [Nee Soon South],Social & Community Events,Nee Soon South CC,5.0,$
1619,Crochet & Knitting (Stage I),Workshops & Classes,Nee Soon South CC,~67.5,$$
1620,Hatha Yoga (Elementary) (HealthierSG),Fitness & Wellness,Nee Soon South CC,~100.0,$$
1621,KpopX® Fitness (HealthierSG),Fitness & Wellness,Nee Soon South CC,~113.0,$$$
1622,Line Dance (Adult) - Elementary (HealthierSG),Workshops & Classes,Nee Soon South CC,~70.0,$$
1623,MEGADANZ® (HealthierSG),Fitness & Wellness,Nee Soon South CC,~105.0,$$$
1624,Nee Soon GRC SG60 Outing to Mandai Bird Paradise & Rainforest Wild Asia [Nee Soon South CC],Social & Community Events,Nee Soon South CC,~15.0,$
1625,Nee Soon South CC - Reading Club Membership,Social & Community Events,Nee Soon South CC,18.0,$
1626,Nee Soon South CSN Inter Schools Netball,Social & Community Events,Nee Soon South CC,0.0,Free
1627,NSS for Arts Everywhere @ CDC,Social & Community Events,Nee Soon South CC,0.0,Free
